name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Delaware,DE,,,0,169,3,160,0,1,,,,0,541,1,519,11,9/7/20,
Florida,FL,,7643,,2496,,1768,,3,,,,,15445,,11528,88,8/26/20,Florida later revised the total number of prisoner tests conducted but could not give an updated number for this week.
Georgia,GA,,,,729,,487,,1,,,,,1436,,1092,41,8/25/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,57,,,,0,,1356,,,243,,0,0,8/25/20,
Idaho,ID,1371,,,100,,96,,0,,4651,,,1214,,948,1,8/25/20,
Illinois,IL,,,,457,,334,,,,,,,774,,491,,8/25/20,
Indiana,IN,,1778,,364,,316,,2,,,3472,,962,,710,20,8/25/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,95,,74,,0,,,9017,,524,,397,3,8/25/20,
Kansas,KS,,1744,,185,,161,,3,,,6216,,1408,,1018,4,8/26/20,Resident and staff testing numbers as of 8/25
Kentucky,KY,,,,149,,125,,1,,,,,877,,674,12,8/25/20,
Louisiana,LA,,,,387,,291,,5,,4940,,,1225,,921,19,8/25/20,"Louisiana later said the number of staff tests counted some people twice, so we've removed that figure for now."
Maine,ME,,,,1,,1,,0,,1603,,,4,,4,0,8/25/20,
Maryland,MD,,11761,,598,,469,,1,,19657,,,695,,661,8,8/24/20,
Massachusetts,MA,,,,202,,,,,,,9357,,419,,,8,8/26/20,"On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures. The number of tests administered to prisoners was later revised by the court, and we've updated it here."
Michigan,MI,,,,448,,405,,3,,37505,,,5093,,3786,69,8/25/20,
Minnesota,MN,,,,109,,97,,0,,,34525,,522,,,2,8/25/20,
Mississippi,MS,423,,,129,,,,,,1011,,,524,,,,8/25/20,
Missouri,MO,,,,332,,154,,0,,26463,,,918,,622,1,8/25/20,
Montana,MT,,,,9,,,,0,,,,,22,,,0,9/3/20,
Nebraska,NE,,,,,,,,,,953,,,10,,10,0,8/21/20,
Nevada,NV,,,,94,,32,,2,,,,,28,,25,0,8/25/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,11,,11,,0,,72,,,1,,1,0,8/25/20,
New Jersey,NJ,,24262,,1000,,935,,,,,54510,,3008,,,49,8/25/20,"The number of cases among inmates decreased because the prison officials took out some cases that were retested and returned negative from the phase 2 positives. Those were tested some time in the last month, but it's unclear how far back those positives had been included in the count"
New Mexico,NM,,,,80,,33,,0,,,11765,,509,,480,4,8/25/20,
New York,NY,,,,1318,,1282,,5,,8556,,,755,,738,17,8/25/20,
North Carolina,NC,,,,572,,499,,1,,,33022,,1819,,1525,10,8/25/20,
North Dakota,ND,921,3928,,16,,15,,0,,1993,5338,,11,,11,0,8/25/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1052,,934,,5,,24411,,,5783,,4502,89,8/25/20,
Oklahoma,OK,,,,153,,,,0,,,8923,,679,,210,0,8/25/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,185,,139,,0,,,3598,,636,,514,3,8/25/20,
Pennsylvania,PA,,1442,,289,,198,,1,,,11189,,311,,239,11,8/25/20,Recovered inmates and staff doesn't include any recovered in community corrections since they don't track people on home assignments or who are released from supervision (does include parole staff now)
Rhode Island,RI,,,,78,,,,0,,,,,33,,,0,8/25/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,402,,304,,1,,4376,,,1462,,607,13,8/25/20,
South Dakota,SD,89,,,9,,8,,0,,208,,,5,,5,0,8/25/20,
Tennessee,TN,,5231,,274,,163,,1,,,24618,,3367,,3259,9,8/25/20,
Texas,TX,,61525,,4265,,3159,,20,,,188613,,19599,,17649,132,8/25/20,"One prisoner who died was later recategorized in October by TDCJ as a death unrelated to COVID-19. In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,4,,4,,0,,,1220,,46,,45,0,8/24/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,1755,,22,,21,,0,,1884,4659,,240,,206,0,8/25/20,
Virginia,VA,,,,,,,,,,,,,2621,,,13,8/25/20,
Washington,WA,,,,151,,,,1,,4462,4794,,431,,368,2,8/25/20,
West Virginia,WV,,4830,,63,,52,,0,,,5416,,130,,127,0,8/25/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,190,,145,,0,,28763,,,624,,342,0,8/25/20,
Wyoming,WY,1030,,,29,,27,,0,,1968,,,101,,90,0,8/27/20,Testing numbers are approximate.
Federal,US,,,,1532,,893,,1,,46999,,,12525,,10806,122,8/25/20,
Alabama,AL,,,,348,,270,,2,,1393,,,323,,188,18,8/18/20,
Alaska,AK,,,,30,,,,0,,,3729,,31,,,0,8/18/20,Total staff cases as of 8/20
Arizona,AZ,,,,654,,599,,,,14871,,,1612,,461,25,8/18/20,
Arkansas,AR,4179,,,370,,341,,1,,13035,,,5038,,4166,36,8/18/20,
California,CA,,,407,3236,218,1779,0,9,2626,88909,,730,11388,527,9622,59,9/8/20,
Colorado,CO,,,,121,,108,,0,,9476,24407,,877,,855,3,8/18/20,
Connecticut,CT,,6135,,394,,382,,0,,,13778,,1500,,1388,7,8/18/20,
Delaware,DE,,1461,4,173,4,164,0,1,,,1732,0,546,0,519,11,9/18/20,
Florida,FL,,7416,,2340,,1468,,3,,,,,15170,,10535,77,8/19/20,"Florida later revised the total number of prisoner tests conducted but could not give an updated number for this week. This week's staff testing numbers were initially noted as staff members tested, but have since been changed to number of tests for staff - which may include the same staff member being tested more than once"
Georgia,GA,,,,652,,428,,1,,,,,1268,,964,39,8/18/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,41,,,,0,,963,,,232,,0,0,8/19/20,
Idaho,ID,1342,,,99,,95,,0,,4506,,,1136,,801,1,8/18/20,
Illinois,IL,,,,389,,289,,0,,4000,,,662,,395,14,8/18/20,
Indiana,IN,,1699,,349,,300,,2,,,3258,,921,,703,20,8/18/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,88,,66,,0,,,7825,,439,,384,3,8/18/20,
Kansas,KS,,1629,,179,,139,,3,,,5609,,1151,,926,4,8/19/20,Resident and staff tests are as of 8/18
Kentucky,KY,,,,147,,114,,1,,,,,863,,570,12,8/18/20,
Louisiana,LA,1724,,,366,,281,,5,,3680,,,1006,,823,19,8/18/20,
Maine,ME,,,,1,,1,,0,,1508,,,4,,4,0,8/18/20,
Maryland,MD,,10637,,562,,456,,1,,19285,,,683,,633,8,8/17/20,
Massachusetts,MA,,,,199,,,,0,,9096,,,419,,382,8,8/19/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,439,,368,,3,,37493,,,4611,,3600,68,8/18/20,
Minnesota,MN,,,,102,,92,,0,,,33530,,522,,,2,8/18/20,
Mississippi,MS,403,,,124,,,,,,917,,,445,,,,8/18/20,
Missouri,MO,,,,264,,107,,0,,26260,,,760,,486,1,8/18/20,
Montana,MT,,,,12,,,,0,,,,,79,,,0,9/11/20,
Nebraska,NE,,,,55,,42,,,,950,,,10,,10,0,8/14/20,
Nevada,NV,,,,87,,32,,1,,,,,27,,23,0,8/18/20,"In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,11,,11,,0,,69,,,1,,1,0,8/18/20,
New Jersey,NJ,,17529,,981,,920,,,,,43586,,3119,,,49,8/18/20,
New Mexico,NM,,,,75,,26,,0,,,11196,,508,,460,4,8/18/20,
New York,NY,,,,1317,,,,5,,8519,,,755,,736,17,8/18/20,"This week's staff recovered figures initially included a figure reported by the DOC that was later stated to be incorrect. The DOC did not provide a corrected figure, so it has since then been removed. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated."
North Carolina,NC,,,,528,,437,,1,,,32848,,1650,,1351,10,8/18/20,
North Dakota,ND,921,3525,,14,,12,,0,,1963,4607,,11,,10,0,8/18/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,1035,,913,,5,,23182,,,5669,,4364,87,8/18/20,
Oklahoma,OK,,,,117,,,,,,,8080,,516,,146,,8/18/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,157,,128,,0,,,3212,,567,,502,2,8/19/20,
Pennsylvania,PA,,1414,,284,,198,,1,,,10494,,310,,239,11,8/18/20,This includes community corrections in staff and inmates and parole in staff. The info does not include recoveries for anyone in Community corrections.
Rhode Island,RI,,,,76,,,,0,,,,,29,,,0,8/18/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,364,,254,,1,,3885,,,1262,,466,12,8/18/20,
South Dakota,SD,88,,,9,,8,,0,,181,,,5,,5,0,8/18/20,
Tennessee,TN,,5186,,237,,153,,1,,,23964,,3318,,3245,9,8/18/20,
Texas,TX,,58767,,4059,,2848,,20,,,181858,,18756,,15656,119,8/18/20,"One prisoner who died was later recategorized in October by TDCJ as a death unrelated to COVID-19. In November, Texas re-classified several other deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,4,,4,,0,,,1160,,46,,43,0,8/18/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,1606,,22,,20,,0,,1834,4171,,239,,171,0,8/18/20,
Virginia,VA,8020,,,603,,486,,0,,31815,,,2555,,2036,13,8/18/20,
Washington,WA,,,,145,,,,1,,4362,4666,,424,,344,2,8/18/20,
West Virginia,WV,,4776,,62,,44,,0,,,5220,,127,,126,0,8/18/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,154,,134,,0,,26980,,,383,,301,0,8/18/20,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,1436,,843,,1,,44492,,,11953,,10360,120,8/18/20,
Alabama,AL,,,,337,,200,,2,,1269,,,238,,167,16,8/11/20,
Alaska,AK,,,,17,,,,0,,,3365,,26,,,0,8/11/20,
Arizona,AZ,,,,635,,561,,,,11290,,,1572,,455,22,8/11/20,
Arkansas,AR,3412,,,346,,303,,1,,10684,,,4665,,3883,34,8/11/20,"Arkansas announced last week it will test all inmates by end of the month, so we may see some spikes in coming weeks."
California,CA,,,130,3366,526,2305,0,9,1508,90417,,737,12125,453,10075,60,9/15/20,
Colorado,CO,,,,117,,100,,0,,9011,21883,,862,,853,3,8/11/20,
Connecticut,CT,,5941,,391,,379,,0,,,12629,,1446,,1388,7,8/11/20,Connecticut revised its initial numbers of tests and recovered cases.
Delaware,DE,,,0,173,0,164,0,1,,,,0,546,0,519,11,9/22/20,
Florida,FL,,7042,,2078,,1160,,3,,,73407,,12988,,,70,8/11/20,"This week's number of staff deaths initially recorded two deaths, and has since been updated to reflect the death of a third employee on 8/10 which was reported by prison officials on 8/19. This week's staff testing numbers were initially noted as staff members tested, but have since been changed to number of tests for staff - which may include the same staff member being tested more than once"
Georgia,GA,,,,573,,342,,1,,,,,1139,,882,34,8/11/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,11,,,,0,,284,,,9,,0,0,8/11/20,
Idaho,ID,1308,,,98,,86,,0,,3658,,,1062,,713,1,8/11/20,
Illinois,IL,,,,335,,252,,0,,2500,,,532,,353,13,8/11/20,
Indiana,IN,,1527,,328,,290,,2,,,2881,,800,,703,20,8/11/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,71,,64,,0,,7245,,,397,,367,3,8/11/20,
Kansas,KS,,1601,,157,,136,,3,,,4977,,1029,,922,4,8/12/20,"This week's staff figures initally included one juvenile facility, which has been removed. This week's staff testing numbers were initially reported by state prison official with an error, which has since been corrected."
Kentucky,KY,,,,141,,99,,0,,,,,851,,565,11,8/11/20,
Louisiana,LA,1510,,,341,,262,,5,,2733,,,930,,760,18,8/11/20,
Maine,ME,,,,1,,1,,0,,1423,,,4,,4,0,8/11/20,
Maryland,MD,,9622,,504,,439,,1,,19058,,,664,,630,8,8/7/20,
Massachusetts,MA,,,,197,,169,,0,,9006,,,418,,382,8,8/12/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,424,,368,,3,,37404,,,4312,,3598,68,8/11/20,
Minnesota,MN,,,,95,,83,,0,,,31417,,517,,485,2,8/11/20,
Mississippi,MS,390,,,117,,,,,,857,,,399,,,,8/11/20,
Missouri,MO,,,,209,,90,,0,,24178,,,685,,394,1,8/11/20,
Montana,MT,,,,20,,,,0,,,,,112,,,0,9/18/20,
Nebraska,NE,,,,49,,34,,,,945,,,10,,10,0,8/7/20,
Nevada,NV,,,,,,32,,1,,,,,25,,23,0,8/11/20,"This week's staff cases were originally 94. Since then, the numbers have been revised according to prison officials, reflecting a lower number (87) in the following week. This week's figure has been updated to NA until the correct figures can be obtained. In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,11,,11,,0,,61,,,1,,1,0,8/11/20,
New Jersey,NJ,,13148,,971,,895,,,,,41186,,3023,,,49,8/11/20,
New Mexico,NM,,,,73,,21,,0,,,9659,,505,,438,4,8/11/20,"This week's prisoner testing numbers were initially noted as prisoners tested, but have since been changed to number of tests for prisoners - which may include the same inmate tested more than once"
New York,NY,,,,1313,,,,5,,8475,,,755,,643,17,8/11/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,493,,374,,1,,,32509,,1504,,1272,10,8/11/20,
North Dakota,ND,623,1181,,13,,8,,0,,1748,2719,,11,,10,0,8/11/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,997,,873,,5,,21942,,,5401,,4339,86,8/11/20,
Oklahoma,OK,,,,100,,,,0,,,7116,,213,,38,0,8/11/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,143,,87,,0,,,3034,,524,,442,1,8/11/20,
Pennsylvania,PA,1215,,,232,,195,,1,,9189,,,277,,239,10,8/11/20,
Rhode Island,RI,,,,76,,,,0,,,,,26,,,0,8/11/20,Backfilled deaths based on info from Rhode Island on 11/4/20
South Carolina,SC,,,,324,,218,,1,,3752,,,1127,,378,12,8/12/20,
South Dakota,SD,87,,,8,,6,,0,,166,,,5,,5,0,8/11/20,
Tennessee,TN,,5151,,200,,140,,0,,,23673,,3267,,3214,8,8/11/20,
Texas,TX,,57681,,3847,,2468,,16,,,179134,,18495,,14573,111,8/11/20,"In November, Texas re-classified several deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,4,,4,,0,,,949,,46,,41,0,8/10/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,1525,,21,,20,,0,,1783,3884,,201,,49,0,8/11/20,
Virginia,VA,7525,,,569,,456,,0,,,,,2406,,,13,8/13/20,
Washington,WA,,,,139,,,,1,,4074,4327,,377,,306,2,8/11/20,
West Virginia,WV,,4592,,49,,28,,0,,,5193,,126,,126,0,8/11/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,136,,123,,0,,26236,,,319,,296,0,8/11/20,
Wyoming,WY,714,,,22,,17,,0,,1898,,,31,,13,0,8/13/20,"Testing numbers are ""approximate"" according to state prison official"
Federal,US,,,,1355,,768,,1,,41058,,,11524,,10034,116,8/11/20,The prisoner deaths include 4 people who were on home confinement under the supervision of a halfway house. Testing totals do not include private prisons. This week originally had an incorrect number for the total staff positive cases. It has been updated.
Alabama,AL,,,,309,,175,,2,,1040,,,215,,141,16,8/4/20,
Alaska,AK,,,,16,,,,0,,,2918,,23,,,0,8/4/20,
Arizona,AZ,,,,599,,508,,,,8411,,,1429,,444,21,8/4/20,
Arkansas,AR,3102,,,342,,221,,1,,9458,,,4182,,3718,31,8/4/20,
California,CA,,,138,3504,339,2644,0,9,1689,92106,,1585,13710,892,10967,60,9/22/20,
Colorado,CO,,,,95,,85,,0,,8892,19506,,860,,797,3,8/4/20,
Connecticut,CT,,5361,,388,,378,,0,,,11274,,1433,,1388,7,8/5/20,
Delaware,DE,,1514,11,184,0,164,0,1,,,1860,0,571,6,525,11,10/1/20,
Florida,FL,,,,1810,,860,,2,,,,,9180,,,54,8/4/20,2 staff deaths based on recent media reports.
Georgia,GA,,,,511,,288,,1,,,,,1017,,805,33,8/4/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,0,,0,,0,,143,,,0,,0,0,8/4/20,
Idaho,ID,1179,,,92,,71,,0,,2255,,,925,,681,1,8/4/20,
Illinois,IL,,,,289,,232,,0,,2400,,,373,,335,13,8/4/20,
Indiana,IN,1399,,,318,,286,,2,,2437,,,719,,695,20,8/4/20,"This week's data initially inadvertently included 3 juvenile facilities, which have been removed from the totals. Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,65,,60,,0,,,6618,,378,,357,3,8/4/20,
Kansas,KS,,685,,135,,121,,3,,,4224,,928,,919,4,8/5/20,
Kentucky,KY,,,,129,,85,,0,,,,,838,,555,10,8/4/20,
Louisiana,LA,1472,,,315,,237,,5,,2522,,,907,,647,17,8/4/20,
Maine,ME,,,,1,,1,,0,,1357,,,4,,4,0,8/3/20,
Maryland,MD,8393,,,487,,430,,1,,19028,,,659,,630,8,8/3/20,
Massachusetts,MA,,,,197,,168,,0,,8760,,,418,,382,8,8/5/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,415,,368,,3,,37325,,,4037,,3595,68,8/4/20,Michigan later updated its number of prisoners tested after it miscalculated the number for that day.
Minnesota,MN,,,,85,,79,,0,,27699,,,505,,426,2,8/4/20,
Mississippi,MS,364,,,98,,,,,,838,,,390,,,,8/4/20,
Missouri,MO,,,,165,,70,,0,,22490,,,572,,209,1,8/4/20,
Montana,MT,,,,27,,,,0,,,,,132,,,0,9/25/20,
Nebraska,NE,,,,42,,26,,,,939,,,10,,10,0,7/31/20,
Nevada,NV,,,,78,,30,,1,,,,,,,22,0,8/4/20,"Nevada's cases dropped by 1 this week, and we are inquiring as to why. In late December, Nevada revised its number of deaths and this week's figures were adjusted accordingly."
New Hampshire,NH,,,,11,,11,,0,,60,,,1,,1,0,8/4/20,
New Jersey,NJ,,13148,,781,,,,,,,36290,,2960,,,49,8/4/20,
New Mexico,NM,,,,,,,,,,,9659,,505,,438,4,8/4/20,
New York,NY,,,,1311,,1272,,5,,5879,,,604,,542,17,8/4/20,
North Carolina,NC,,,,409,,319,,1,,,32274,,1456,,1036,8,8/4/20,
North Dakota,ND,617,1106,,9,,7,,0,,1738,2682,,10,,8,0,8/4/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,970,,824,,5,,20486,,,5283,,4300,84,8/4/20,"After reviewing death certificates, Ohio later revised its number of confirmed deaths in several facilities including Chillicothe Correctional Institution, Belmont, Marion and Pickaway."
Oklahoma,OK,,,,75,,,,0,,,6535,,150,,22,0,8/4/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,127,,59,,0,,,2870,,494,,369,1,8/4/20,
Pennsylvania,PA,1177,,,224,,188,,1,,8501,,,275,,238,10,8/4/20,
Rhode Island,RI,,,,75,,,,0,,,,,25,,20,0,8/4/20,
South Carolina,SC,,,,296,,187,,1,,3244,,,975,,236,10,8/4/20,
South Dakota,SD,77,,,8,,6,,0,,133,,,5,,5,0,8/3/20,
Tennessee,TN,,5014,,183,,125,,0,,,23526,,3221,,3204,5,8/4/20,
Texas,TX,,55467,,3546,,2185,,14,,,174407,,17068,,12493,111,8/4/20,"In November, Texas re-classified several deaths that had been presumed to be connectedto coronavirus as unrelated to COVID. We have adjusted our death totals accordingly."
Utah,UT,,,,4,,4,,0,,,892,,43,,40,0,8/3/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,1449,,20,,20,,0,,1753,3617,,149,,46,0,8/4/20,
Virginia,VA,7525,,,520,,392,,0,,29642,,,2151,,1507,13,8/4/20,
Washington,WA,,,,133,,,,1,,3686,3904,,360,,296,2,8/4/20,
West Virginia,WV,,4468,,35,,27,,0,,,5180,,126,,126,0,8/4/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,126,,100,,0,,,25798,,307,,295,0,8/4/20,
Wyoming,WY,,,,9,,,,0,,,,,15,,,0,8/3/20,
Federal,US,,,,1263,,720,,1,,38364,,,11213,,8994,109,8/4/20,The prisoner deaths include 4 people who were on home confinement under the supervision of a halfway house. Testing totals do not include private prisons.
Alabama,AL,,,,291,,166,,2,,736,,,199,,114,15,7/28/20,
Alaska,AK,,,,15,,,,0,,,2345,,17,,2,0,7/28/20,
Arizona,AZ,,,,520,,441,,,,5227,,,824,,397,16,7/28/20,
Arkansas,AR,2878,,,309,,221,,1,,8763,,,3851,,3007,27,7/28/20,
California,CA,,,140,3644,139,2783,0,9,1301,93407,,513,14223,745,11712,67,9/29/20,
Colorado,CO,,,,91,,78,,0,,7968,16452,,841,,691,3,7/28/20,
Connecticut,CT,,4900,,386,,378,,0,,,10840,,1401,,1330,7,7/28/20,
Delaware,DE,,1584,24,208,7,171,0,1,,,2002,4,575,21,546,11,10/28/20,"The number of deaths for this week was incorrect in our first release. There were 11 deaths in Delaware, not 17. It has been updated in our data."
Florida,FL,,,,1486,,,,,,,45885,,6946,,,46,7/28/20,
Georgia,GA,,,,442,,251,,1,,,,,886,,754,31,7/28/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,0,,0,,0,,131,,,0,,0,0,7/28/20,
Idaho,ID,861,,,90,,65,,0,,1965,,,772,,477,0,7/28/20,
Illinois,IL,,,,267,,210,,0,,2185,,,360,,332,13,7/28/20,
Indiana,IN,1393,,,306,,279,,2,,2320,,,706,,694,20,7/28/20,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,63,,40,,0,,,5853,,375,,313,3,7/28/20,The prisoner case total has been updated to include the 3 deaths reported this week.
Kansas,KS,,,,128,,118,,3,,,3957,,925,,910,4,7/29/20,Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,,120,,,,0,,,,,807,,,8,7/28/20,
Louisiana,LA,1329,,,295,,204,,5,,2151,,,833,,601,17,7/28/20,
Maine,ME,,,,1,,1,,0,,1262,,,4,,4,0,7/28/20,
Maryland,MD,6826,,,479,,426,,1,,18883,,,641,,616,8,7/27/20,
Massachusetts,MA,,,,194,,168,,0,,8601,,,418,,381,8,7/29/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,411,,368,,3,,37244,,,3877,,3586,68,7/28/20,
Minnesota,MN,,,,75,,75,,0,,,24619,,461,,383,2,7/28/20,
Mississippi,MS,283,,,80,,,,,,386,,,114,,,,7/27/20,
Missouri,MO,,,,125,,60,,0,,19483,,,520,,179,1,7/28/20,
Montana,MT,,,,28,,,,0,,,,,156,,,0,10/2/20,
Nebraska,NE,,,,,,,,0,,935,,,8,,8,0,7/24/20,
Nevada,NV,,,,66,,29,,0,,,,,22,,20,0,7/28/20,
New Hampshire,NH,,,,11,,11,,0,,52,,,1,,1,0,7/28/20,
New Jersey,NJ,,,,781,,,,,,,,,2892,,,49,7/28/20,
New Mexico,NM,5862,,,50,,13,,0,,9041,,,500,,438,4,7/28/20,
New York,NY,,,,1308,,1257,,5,,5830,,,604,,537,17,7/28/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
North Carolina,NC,,,,356,,269,,1,,26330,,,1407,,888,8,7/28/20,
North Dakota,ND,617,1073,,8,,7,,0,,1699,2486,,8,,7,0,7/28/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,940,,798,,5,,19101,,,5195,,4300,84,7/28/20,"After reviewing death certificates, Ohio later revised its number of confirmed deaths in several facilities including Chillicothe Correctional Institution, Belmont and Pickaway."
